kod0,kategoria,kod1,klasa,kod2,obiekt
SK,sieć komunikacyjna,SKRP,ciąg ruchu pieszego i rowerowego,SKRP03,ścieżka
SK,sieć komunikacyjna,SKTR,tor lub zespół torów,SKTR01,tor kolejowy
SK,sieć komunikacyjna,SKTR,tor lub zespół torów,SKTR02,tor metra
SK,sieć komunikacyjna,SKTR,tor lub zespół torów,SKTR03,tor tramwajowy
SK,sieć komunikacyjna,SKPP,przeprawa,SKPP01,bród
SK,sieć komunikacyjna,SKPP,przeprawa,SKPP02,przeprawa łodziami
SK,sieć komunikacyjna,SKPP,przeprawa,SKPP03,przeprawa promowa
SU,sieć uzbrojenia terenu,SULN,linia napowietrzna,SULN01,linia elektroenergetyczna najwyższego napięcia
SU,sieć uzbrojenia terenu,SULN,linia napowietrzna,SULN02,linia elektroenergetyczna wysokiego napięcia
SU,sieć uzbrojenia terenu,SULN,linia napowietrzna,SULN03,linia elektroenergetyczna średniego napięcia
SU,sieć uzbrojenia terenu,SULN,linia napowietrzna,SULN04,linia elektroenergetyczna niskiego napięcia
SU,sieć uzbrojenia terenu,SULN,linia napowietrzna,SULN05,linia telekomunikacyjna
SU,sieć uzbrojenia terenu,SUPR,przewód rurowy,SUPR01,benzynowy
SU,sieć uzbrojenia terenu,SUPR,przewód rurowy,SUPR02,ciepłowniczy
SU,sieć uzbrojenia terenu,SUPR,przewód rurowy,SUPR03,gazowy
SU,sieć uzbrojenia terenu,SUPR,przewód rurowy,SUPR04,kanalizacyjny
SU,sieć uzbrojenia terenu,SUPR,przewód rurowy,SUPR05,naftowy
SU,sieć uzbrojenia terenu,SUPR,przewód rurowy,SUPR06,wodociągowy
PT,pokrycie terenu,PTWP,woda powierzchniowa,PTWP01,woda morska
PT,pokrycie terenu,PTWP,woda powierzchniowa,PTWP02,woda płynąca
PT,pokrycie terenu,PTWP,woda powierzchniowa,PTWP03,woda stojąca
PT,pokrycie terenu,PTZB,zabudowa,PTZB01,zabudowa wielorodzinna
PT,pokrycie terenu,PTZB,zabudowa,PTZB02,zabudowa jednorodzinna
